sentiment_score,pos_freq,pos_val,neg_freq,neg_val,review_Num
36,23,36,0,0,22
205,147,244,27,-39,205
116,97,142,14,-26,203
119,99,163,24,-44,90
175,122,191,10,-16,124
117,98,152,23,-35,101
2158,1666,2785,350,-627,1092
185,148,230,26,-45,129
193,139,224,22,-31,243
164,121,200,23,-36,157
167,110,192,14,-25,85
347,273,453,60,-106,210
212,147,255,24,-43,82
138,110,184,27,-46,184
129,92,152,15,-23,132
346,246,383,21,-37,324
177,142,227,30,-50,260
67,50,81,8,-14,57
71,51,87,12,-16,76
195,163,259,35,-64,151
48,49,77,18,-29,82
69,57,92,12,-23,94
159,128,211,27,-52,139
25,30,43,12,-18,44
78,55,94,11,-16,162
126,124,182,35,-56,201
515,401,631,65,-116,310
220,151,249,17,-29,152
137,114,188,32,-51,183
86,80,123,24,-37,112
57,56,79,12,-22,49
79,74,113,18,-34,65
166,147,222,35,-56,131
120,109,168,27,-48,103
60,60,96,21,-36,133
71,52,84,9,-13,84
103,79,131,16,-28,125
46,65,100,33,-54,157
137,120,189,35,-52,245
131,123,189,32,-58,133
47,33,53,3,-6,49
124,99,154,18,-30,95
26,18,30,2,-4,39
88,76,118,21,-30,130
126,109,167,24,-41,73
34,42,70,21,-36,83
16,12,22,4,-6,45
476,442,679,119,-203,509
145,144,237,60,-92,278
143,131,197,31,-54,180
461,313,534,42,-73,167
689,477,814,69,-125,309
144,102,161,11,-17,78
-3,2,3,3,-6,11
36,48,67,18,-31,105
38,52,75,21,-37,96
3,5,7,2,-4,11
112,82,138,17,-26,121
51,46,56,4,-5,73
139,115,176,21,-37,121
143,122,194,27,-51,103
86,63,101,9,-15,129
54,72,115,34,-61,120
174,137,224,29,-50,123
241,168,288,28,-47,174
263,207,331,42,-68,236
101,87,141,25,-40,157
33,29,43,6,-10,82
345,247,401,32,-56,194
150,120,199,28,-49,159
82,69,103,13,-21,101
73,72,121,28,-48,146
